waveform	V_in	V_out
t0	4/22/2022  09:49:08,307853	4/22/2022  09:49:08,307864
delta t	0,000250	0,000250

time	V_in	V_out
4/22/2022  09:49:08,342853	2,524258E+0	9,242081E-4
4/22/2022  09:49:08,343103	2,524258E+0	2,533469E-3
4/22/2022  09:49:08,343353	2,523614E+0	1,246060E-3
4/22/2022  09:49:08,343603	2,522005E+0	1,567913E-3
4/22/2022  09:49:08,343853	2,522005E+0	3,820878E-3
4/22/2022  09:49:08,344103	2,523936E+0	2,211617E-3
4/22/2022  09:49:08,344353	2,522327E+0	4,786434E-3
4/22/2022  09:49:08,344603	2,523614E+0	3,499026E-3
4/22/2022  09:49:08,344853	2,522327E+0	1,889765E-3
4/22/2022  09:49:08,345103	2,522971E+0	1,246060E-3
4/22/2022  09:49:08,345353	2,523293E+0	1,246060E-3
4/22/2022  09:49:08,345603	2,523936E+0	-4,134846E-5
4/22/2022  09:49:08,345853	2,523614E+0	1,567913E-3
4/22/2022  09:49:08,346103	2,522971E+0	3,499026E-3
4/22/2022  09:49:08,346353	2,522327E+0	1,889765E-3
4/22/2022  09:49:08,346603	2,522005E+0	3,499026E-3
4/22/2022  09:49:08,346853	2,522971E+0	2,855321E-3
4/22/2022  09:49:08,347103	2,522971E+0	2,211617E-3
4/22/2022  09:49:08,347353	2,522971E+0	4,464582E-3
4/22/2022  09:49:08,347603	2,524258E+0	9,242081E-4
4/22/2022  09:49:08,347853	2,522971E+0	3,499026E-3
4/22/2022  09:49:08,348103	2,522971E+0	3,499026E-3
4/22/2022  09:49:08,348353	2,522327E+0	2,533469E-3
4/22/2022  09:49:08,348603	2,523936E+0	3,177174E-3
4/22/2022  09:49:08,348853	2,522971E+0	2,855321E-3
4/22/2022  09:49:08,349103	2,519108E+0	3,820878E-3
4/22/2022  09:49:08,349353	2,521361E+0	1,889765E-3
4/22/2022  09:49:08,349603	2,523936E+0	2,533469E-3
4/22/2022  09:49:08,349853	2,521361E+0	2,533469E-3
4/22/2022  09:49:08,350103	2,523293E+0	1,567913E-3
4/22/2022  09:49:08,350353	2,522327E+0	3,499026E-3
