waveform	V_in	Passa basso
t0	4/22/2022  12:10:24,087735	4/22/2022  12:10:24,087736
delta t	2,000000E-6	2,000000E-6

time	V_in	Passa basso
4/22/2022  12:10:24,087973	-2,321877E+0	-4,213456E-1
4/22/2022  12:10:24,087975	-2,210838E+0	-4,937623E-1
4/22/2022  12:10:24,087977	-1,961404E+0	-5,362467E-1
4/22/2022  12:10:24,087979	-1,591919E+0	-5,439711E-1
4/22/2022  12:10:24,087981	-1,120085E+0	-5,195104E-1
4/22/2022  12:10:24,087983	-5,777656E-1	-4,599678E-1
4/22/2022  12:10:24,087985	1,246060E-3	-3,733897E-1
4/22/2022  12:10:24,087987	5,770402E-1	-2,629945E-1
4/22/2022  12:10:24,087989	1,116788E+0	-1,355411E-1
4/22/2022  12:10:24,087991	1,586695E+0	-6,850528E-4
4/22/2022  12:10:24,087993	1,958758E+0	1,341710E-1
4/22/2022  12:10:24,087995	2,205621E+0	2,606590E-1
4/22/2022  12:10:24,087997	2,314730E+0	3,697670E-1
4/22/2022  12:10:24,087999	2,278682E+0	4,563454E-1
4/22/2022  12:10:24,088001	2,097800E+0	5,139570E-1
4/22/2022  12:10:24,088003	1,786566E+0	5,400271E-1
4/22/2022  12:10:24,088005	1,360753E+0	5,303715E-1
4/22/2022  12:10:24,088007	8,499715E-1	4,885307E-1
4/22/2022  12:10:24,088009	2,847980E-1	4,145046E-1
4/22/2022  12:10:24,088011	-2,929267E-1	3,153740E-1
4/22/2022  12:10:24,088013	-8,571327E-1	1,966104E-1
4/22/2022  12:10:24,088015	-1,366301E+0	6,497280E-2
4/22/2022  12:10:24,088017	-1,791467E+0	-7,117068E-2
4/22/2022  12:10:24,088019	-2,105271E+0	-2,034519E-1
4/22/2022  12:10:24,088021	-2,282611E+0	-3,218934E-1
4/22/2022  12:10:24,088023	-2,321555E+0	-4,210238E-1
4/22/2022  12:10:24,088025	-2,212448E+0	-4,937623E-1
4/22/2022  12:10:24,088027	-1,965588E+0	-5,362467E-1
4/22/2022  12:10:24,088029	-1,592241E+0	-5,442930E-1
4/22/2022  12:10:24,088031	-1,120407E+0	-5,191885E-1
4/22/2022  12:10:24,088033	-5,784093E-1	-4,599678E-1
4/22/2022  12:10:24,088035	1,246060E-3	-3,730678E-1
4/22/2022  12:10:24,088037	5,760746E-1	-2,626726E-1
4/22/2022  12:10:24,088039	1,117754E+0	-1,358629E-1
4/22/2022  12:10:24,088041	1,587338E+0	-1,328757E-3
4/22/2022  12:10:24,088043	1,956505E+0	1,338492E-1
4/22/2022  12:10:24,088045	2,205621E+0	2,600153E-1
4/22/2022  12:10:24,088047	2,316661E+0	3,704107E-1
4/22/2022  12:10:24,088049	2,277395E+0	4,563454E-1
4/22/2022  12:10:24,088051	2,100053E+0	5,139570E-1
4/22/2022  12:10:24,088053	1,784957E+0	5,387397E-1
4/22/2022  12:10:24,088055	1,362040E+0	5,306934E-1
4/22/2022  12:10:24,088057	8,509371E-1	4,885307E-1
4/22/2022  12:10:24,088059	2,867291E-1	4,148264E-1
4/22/2022  12:10:24,088061	-2,903519E-1	3,156958E-1
4/22/2022  12:10:24,088063	-8,580983E-1	1,962886E-1
4/22/2022  12:10:24,088065	-1,366301E+0	6,497280E-2
4/22/2022  12:10:24,088067	-1,793076E+0	-7,117068E-2
4/22/2022  12:10:24,088069	-2,105271E+0	-2,037737E-1
4/22/2022  12:10:24,088071	-2,284864E+0	-3,222152E-1
4/22/2022  12:10:24,088073	-2,322521E+0	-4,216675E-1
4/22/2022  12:10:24,088075	-2,213413E+0	-4,940841E-1
4/22/2022  12:10:24,088077	-1,964944E+0	-5,365685E-1
4/22/2022  12:10:24,088079	-1,592563E+0	-5,446148E-1
4/22/2022  12:10:24,088081	-1,121695E+0	-5,191885E-1
4/22/2022  12:10:24,088083	-5,771218E-1	-4,602897E-1
4/22/2022  12:10:24,088085	-1,328757E-3	-3,730678E-1
4/22/2022  12:10:24,088087	5,747872E-1	-2,626726E-1
4/22/2022  12:10:24,088089	1,117432E+0	-1,358629E-1
4/22/2022  12:10:24,088091	1,587016E+0	-1,328757E-3
4/22/2022  12:10:24,088093	1,956827E+0	1,338492E-1
4/22/2022  12:10:24,088095	2,206909E+0	2,606590E-1
4/22/2022  12:10:24,088097	2,314086E+0	3,697670E-1
4/22/2022  12:10:24,088099	2,277073E+0	4,560236E-1
4/22/2022  12:10:24,088101	2,097800E+0	5,133133E-1
4/22/2022  12:10:24,088103	1,784313E+0	5,387397E-1
4/22/2022  12:10:24,088105	1,360431E+0	5,300497E-1
4/22/2022  12:10:24,088107	8,509371E-1	4,882088E-1
4/22/2022  12:10:24,088109	2,860854E-1	4,148264E-1
4/22/2022  12:10:24,088111	-2,922830E-1	3,156958E-1
4/22/2022  12:10:24,088113	-8,577764E-1	1,969323E-1
4/22/2022  12:10:24,088115	-1,363405E+0	6,432910E-2
4/22/2022  12:10:24,088117	-1,792432E+0	-7,149253E-2
4/22/2022  12:10:24,088119	-2,103984E+0	-2,034519E-1
4/22/2022  12:10:24,088121	-2,284220E+0	-3,222152E-1
4/22/2022  12:10:24,088123	-2,321233E+0	-4,213456E-1
4/22/2022  12:10:24,088125	-2,212769E+0	-4,940841E-1
4/22/2022  12:10:24,088127	-1,963657E+0	-5,365685E-1
4/22/2022  12:10:24,088129	-1,594494E+0	-5,446148E-1
4/22/2022  12:10:24,088131	-1,122982E+0	-5,191885E-1
4/22/2022  12:10:24,088133	-5,780874E-1	-4,602897E-1
